scheme,impl,np,nx,ny,steps,dt,dx,dy,g,time_s,t_seq_s,speedup,efficiency,hmin,hmax,no_output
lf,serial,1,240,240,120,0.005,1.0,1.0,9.81,0.057281,0.057281,1,1,1.000000e+00,1.004972e+00,1
lf,mpi,1,240,240,120,0.005,1.0,1.0,9.81,0.074279,0.057281,0.7711600856231237,0.7711600856231237,1.000000e+00,1.004972e+00,1
lf,mpi,2,240,240,120,0.005,1.0,1.0,9.81,0.031191,0.057281,1.8364592350357474,0.9182296175178737,1.000000e+00,1.004972e+00,1
lf,mpi,4,240,240,120,0.005,1.0,1.0,9.81,0.027855,0.057281,2.056399210195656,0.514099802548914,1.000000e+00,1.004972e+00,1
lw,serial,1,240,240,120,0.005,1.0,1.0,9.81,0.103098,0.103098,1,1,8.933616e-01,1.659461e+00,1
lw,mpi,1,240,240,120,0.005,1.0,1.0,9.81,0.132489,0.103098,0.7781627153952404,0.7781627153952404,8.933616e-01,1.659461e+00,1
lw,mpi,2,240,240,120,0.005,1.0,1.0,9.81,0.071390,0.103098,1.444151841994677,0.7220759209973385,8.933616e-01,1.659461e+00,1
lw,mpi,4,240,240,120,0.005,1.0,1.0,9.81,0.050871,0.103098,2.0266556584301467,0.5066639146075367,8.933616e-01,1.659461e+00,1
mc,serial,1,240,240,120,0.005,1.0,1.0,9.81,0.103892,0.103892,1,1,5.249046e-01,1.256854e+00,1
mc,mpi,1,240,240,120,0.005,1.0,1.0,9.81,0.086994,0.103892,1.1942432811458261,1.1942432811458261,5.249046e-01,1.256854e+00,1
mc,mpi,2,240,240,120,0.005,1.0,1.0,9.81,0.044858,0.103892,2.3160194391189974,1.1580097195594987,5.249046e-01,1.256854e+00,1
mc,mpi,4,240,240,120,0.005,1.0,1.0,9.81,0.038206,0.103892,2.7192587551693452,0.6798146887923363,5.249046e-01,1.256854e+00,1
