nx,ny,np,steps,dt,dx,dy,g,eps,serial_time_s,mpi_time_s,speedup,max_abs_diff,mean_abs_diff,max_rel_diff,n,serial_csv,mpi_csv,pass
280,200,4,60,0.01,1.0,1.0,9.81,1e-12,0.029373,0.009317,3.152624,0.000e+00,0.000e+00,0.000e+00,56000,outputs/correctness_lf_only_20260204_155325/serial_280x200.csv,outputs/correctness_lf_only_20260204_155325/mpi_np4_280x200.csv,1
320,240,1,60,0.01,1.0,1.0,9.81,1e-12,0.041595,0.071254,0.583757,0.000e+00,0.000e+00,0.000e+00,76800,outputs/correctness_lf_only_20260204_155325/serial_320x240.csv,outputs/correctness_lf_only_20260204_155325/mpi_np1_320x240.csv,1
320,240,2,60,0.01,1.0,1.0,9.81,1e-12,0.056478,0.034071,1.657656,0.000e+00,0.000e+00,0.000e+00,76800,outputs/correctness_lf_only_20260204_155325/serial_320x240.csv,outputs/correctness_lf_only_20260204_155325/mpi_np2_320x240.csv,1
320,240,4,60,0.01,1.0,1.0,9.81,1e-12,0.036370,0.121531,0.299265,0.000e+00,0.000e+00,0.000e+00,76800,outputs/correctness_lf_only_20260204_155325/serial_320x240.csv,outputs/correctness_lf_only_20260204_155325/mpi_np4_320x240.csv,1
360,260,1,60,0.01,1.0,1.0,9.81,1e-12,0.075080,0.051987,1.444207,0.000e+00,0.000e+00,0.000e+00,93600,outputs/correctness_lf_only_20260204_155325/serial_360x260.csv,outputs/correctness_lf_only_20260204_155325/mpi_np1_360x260.csv,1
360,260,2,60,0.01,1.0,1.0,9.81,1e-12,0.050957,0.059384,0.858093,0.000e+00,0.000e+00,0.000e+00,93600,outputs/correctness_lf_only_20260204_155325/serial_360x260.csv,outputs/correctness_lf_only_20260204_155325/mpi_np2_360x260.csv,1
360,260,4,60,0.01,1.0,1.0,9.81,1e-12,0.077556,0.023975,3.234870,0.000e+00,0.000e+00,0.000e+00,93600,outputs/correctness_lf_only_20260204_155325/serial_360x260.csv,outputs/correctness_lf_only_20260204_155325/mpi_np4_360x260.csv,1
480,360,1,60,0.01,1.0,1.0,9.81,1e-12,0.132392,0.137818,0.960629,0.000e+00,0.000e+00,0.000e+00,172800,outputs/correctness_lf_only_20260204_155325/serial_480x360.csv,outputs/correctness_lf_only_20260204_155325/mpi_np1_480x360.csv,1
480,360,2,60,0.01,1.0,1.0,9.81,1e-12,0.086913,0.051763,1.679056,0.000e+00,0.000e+00,0.000e+00,172800,outputs/correctness_lf_only_20260204_155325/serial_480x360.csv,outputs/correctness_lf_only_20260204_155325/mpi_np2_480x360.csv,1
480,360,4,60,0.01,1.0,1.0,9.81,1e-12,0.091973,0.038852,2.367266,0.000e+00,0.000e+00,0.000e+00,172800,outputs/correctness_lf_only_20260204_155325/serial_480x360.csv,outputs/correctness_lf_only_20260204_155325/mpi_np4_480x360.csv,1
